"X" "Date" "Actual" "Forecast"
"1" 1 "1/1/10" 361.1030118 NA
"2" 2 "2/1/10" 380.6639433 NA
"3" 3 "3/1/10" 366.5304592 NA
"4" 4 "4/1/10" 425.2869891 NA
"5" 5 "5/1/10" 435.2886608 NA
"6" 6 "6/1/10" 442.6516609 NA
"7" 7 "7/1/10" 444.753118 NA
"8" 8 "8/1/10" 446.0908877 NA
"9" 9 "9/1/10" 412.8151835 NA
"10" 10 "10/1/10" 377.0509118 NA
"11" 11 "11/1/10" 430.2312068 NA
"12" 12 "12/1/10" 434.0509606 NA
"13" 13 "13/1/10" 442.1539474 NA
"14" 14 "14/1/10" 447.1713737 NA
"15" 15 "15/1/10" 446.5043323 NA
"16" 16 "16/1/10" 412.8599514 NA
"17" 17 "17/1/10" 384.4771136 NA
"18" 18 "18/1/10" 445.1323283 NA
"19" 19 "19/1/10" 451.412999 NA
"20" 20 "20/1/10" 450.6282443 NA
"21" 21 "21/1/10" 440.5291366 NA
"22" 22 "22/1/10" 451.9923481 NA
"23" 23 "23/1/10" 413.5578037 NA
"24" 24 "24/1/10" 397.0358215 NA
"25" 25 "25/1/10" 446.2831263 NA
"26" 26 "26/1/10" 456.7675011 NA
"27" 27 "27/1/10" 438.2012067 NA
"28" 28 "28/1/10" 442.053878 NA
"29" 29 "29/1/10" 448.6953251 NA
"30" 30 "30/1/10" 411.738121 NA
"31" 31 "31/1/10" 392.8671415 NA
"32" 32 "1/2/10" 407.6937101 NA
"33" 33 "2/2/10" 357.7514526 NA
"34" 34 "3/2/10" 386.7533849 NA
"35" 35 "4/2/10" 382.422165 NA
"36" 36 "5/2/10" 377.0590802 NA
"37" 37 "6/2/10" 368.4279882 NA
"38" 38 "7/2/10" 343.1512185 NA
"39" 39 "8/2/10" 385.4994733 NA
"40" 40 "9/2/10" 372.4143824 NA
"41" 41 "10/2/10" 368.3757418 NA
"42" 42 "11/2/10" 379.8602667 NA
"43" 43 "12/2/10" 366.996439 NA
"44" 44 "13/2/10" 350.5675836 NA
"45" 45 "14/2/10" 333.5718557 NA
"46" 46 "15/2/10" 376.1818645 NA
"47" 47 "16/2/10" 375.6588789 NA
"48" 48 "17/2/10" 358.8747485 NA
"49" 49 "18/2/10" 366.8710478 NA
"50" 50 "19/2/10" 380.9880035 NA
"51" 51 "20/2/10" 349.1726069 NA
"52" 52 "21/2/10" 339.6742259 NA
"53" 53 "22/2/10" 368.7388538 NA
"54" 54 "23/2/10" 369.8752112 NA
"55" 55 "24/2/10" 374.6897096 NA
"56" 56 "25/2/10" 372.4431178 NA
"57" 57 "26/2/10" 358.501971 NA
"58" 58 "27/2/10" 351.6830426 NA
"59" 59 "28/2/10" 349.5226572 NA
"60" 60 "1/3/10" 374.340631 NA
"61" 61 "2/3/10" 378.2650453 NA
"62" 62 "3/3/10" 370.0805235 NA
"63" 63 "4/3/10" 378.835191 NA
"64" 64 "5/3/10" 373.938332 NA
"65" 65 "6/3/10" 377.183367 NA
"66" 66 "7/3/10" 357.3215148 NA
"67" 67 "8/3/10" 382.7382914 NA
"68" 68 "9/3/10" 383.0286927 NA
"69" 69 "10/3/10" 367.2724226 NA
"70" 70 "11/3/10" 373.7145364 NA
"71" 71 "12/3/10" 378.7499356 NA
"72" 72 "13/3/10" 387.1609171 NA
"73" 73 "14/3/10" 364.2390203 NA
"74" 74 "15/3/10" 372.7154493 NA
"75" 75 "16/3/10" 377.3991698 NA
"76" 76 "17/3/10" 400.506057 NA
"77" 77 "18/3/10" 391.1919007 NA
"78" 78 "19/3/10" 426.9778696 NA
"79" 79 "20/3/10" 405.413573 NA
"80" 80 "21/3/10" 392.8090897 NA
"81" 81 "22/3/10" 455.2373822 NA
"82" 82 "23/3/10" 453.2959561 NA
"83" 83 "24/3/10" 463.7336192 NA
"84" 84 "25/3/10" 435.146406 NA
"85" 85 "26/3/10" 418.0819978 NA
"86" 86 "27/3/10" 400.6232832 NA
"87" 87 "28/3/10" 394.2557679 NA
"88" 88 "29/3/10" 465.4360637 NA
"89" 89 "30/3/10" 463.8881447 NA
"90" 90 "31/3/10" 469.7654412 NA
"91" 91 "1/4/10" 461.784328 NA
"92" 92 "2/4/10" 445.1674055 NA
"93" 93 "3/4/10" 411.8395321 NA
"94" 94 "4/4/10" 384.4328411 NA
"95" 95 "5/4/10" 398.2654758 NA
"96" 96 "6/4/10" 423.8020446 NA
"97" 97 "7/4/10" 454.9542035 NA
"98" 98 "8/4/10" 435.7880643 NA
"99" 99 "9/4/10" 408.8906943 NA
"100" 100 "10/4/10" 381.3194536 NA
"101" 101 "11/4/10" 364.4674599 NA
"102" 102 "12/4/10" 390.4584998 NA
"103" 103 "13/4/10" 383.2653208 NA
"104" 104 "14/4/10" 379.276946 NA
"105" 105 "15/4/10" 380.9511754 NA
"106" 106 "16/4/10" 374.6329837 NA
"107" 107 "17/4/10" 380.7970731 NA
"108" 108 "18/4/10" 311.8245689 NA
"109" 109 "19/4/10" 374.6852217 NA
"110" 110 "20/4/10" 375.372152 NA
"111" 111 "21/4/10" 371.7520554 NA
"112" 112 "22/4/10" 385.1563381 NA
"113" 113 "23/4/10" 379.6896266 NA
"114" 114 "24/4/10" 369.0983627 NA
"115" 115 "25/4/10" 344.5151382 NA
"116" 116 "26/4/10" 379.1776937 NA
"117" 117 "27/4/10" 346.38082 NA
"118" 118 "28/4/10" 389.0559082 NA
"119" 119 "29/4/10" 385.506333 NA
"120" 120 "30/4/10" 379.7941026 NA
"121" 121 "1/5/10" 372.0278639 NA
"122" 122 "2/5/10" 365.0677132 NA
"123" 123 "3/5/10" 402.9079557 NA
"124" 124 "4/5/10" 407.2078565 NA
"125" 125 "5/5/10" 421.9535604 NA
"126" 126 "6/5/10" 416.0446825 NA
"127" 127 "7/5/10" 433.9748784 NA
"128" 128 "8/5/10" 409.433097 NA
"129" 129 "9/5/10" 376.0935289 NA
"130" 130 "10/5/10" 419.4745644 NA
"131" 131 "11/5/10" 432.8622582 NA
"132" 132 "12/5/10" 433.3112102 NA
"133" 133 "13/5/10" 401.8371633 NA
"134" 134 "14/5/10" 434.4796009 NA
"135" 135 "15/5/10" 419.360235 NA
"136" 136 "16/5/10" 347.0678042 NA
"137" 137 "17/5/10" 409.0733777 NA
"138" 138 "18/5/10" 435.7177047 NA
"139" 139 "19/5/10" 428.5484148 NA
"140" 140 "20/5/10" 431.5432873 NA
"141" 141 "21/5/10" 422.8988694 NA
"142" 142 "22/5/10" 415.0436031 NA
"143" 143 "23/5/10" 374.0523308 NA
"144" 144 "24/5/10" 390.487879 NA
"145" 145 "25/5/10" 429.0587143 NA
"146" 146 "26/5/10" 441.548504 NA
"147" 147 "27/5/10" 451.8716122 NA
"148" 148 "28/5/10" 446.704481 NA
"149" 149 "29/5/10" 399.1925291 NA
"150" 150 "30/5/10" 373.0699346 NA
"151" 151 "31/5/10" 425.3697787 NA
"152" 152 "1/6/10" 430.1270868 NA
"153" 153 "2/6/10" 414.4318725 NA
"154" 154 "3/6/10" 391.1844444 NA
"155" 155 "4/6/10" 372.1134554 NA
"156" 156 "5/6/10" 373.0040676 NA
"157" 157 "6/6/10" 361.1518343 NA
"158" 158 "7/6/10" 412.2019528 NA
"159" 159 "8/6/10" 420.1392468 NA
"160" 160 "9/6/10" 410.702043 NA
"161" 161 "10/6/10" 415.9797543 NA
"162" 162 "11/6/10" 425.0417852 NA
"163" 163 "12/6/10" 397.5334453 NA
"164" 164 "13/6/10" 342.880467 NA
"165" 165 "14/6/10" 398.3797355 NA
"166" 166 "15/6/10" 403.7453087 NA
"167" 167 "16/6/10" 412.8141183 NA
"168" 168 "17/6/10" 417.6048087 NA
"169" 169 "18/6/10" 421.7893301 NA
"170" 170 "19/6/10" 379.3575008 NA
"171" 171 "20/6/10" 361.2767182 NA
"172" 172 "21/6/10" 417.7130066 NA
"173" 173 "22/6/10" 425.3888007 NA
"174" 174 "23/6/10" 410.5286656 NA
"175" 175 "24/6/10" 369.5414739 NA
"176" 176 "25/6/10" 388.0654768 NA
"177" 177 "26/6/10" 371.6141808 NA
"178" 178 "27/6/10" 349.1220522 NA
"179" 179 "28/6/10" 406.2927828 NA
"180" 180 "29/6/10" 418.4039089 NA
"181" 181 "30/6/10" 424.2614567 NA
"182" 182 "1/7/10" 395.9169317 NA
"183" 183 "2/7/10" 400.4370097 NA
"184" 184 "3/7/10" 371.8038868 NA
"185" 185 "4/7/10" 342.4016607 NA
"186" 186 "5/7/10" 392.3302536 NA
"187" 187 "6/7/10" 388.4745172 NA
"188" 188 "7/7/10" 399.1594297 NA
"189" 189 "8/7/10" 403.6858957 NA
"190" 190 "9/7/10" 391.9104408 NA
"191" 191 "10/7/10" 353.7631796 NA
"192" 192 "11/7/10" 330.0397966 NA
"193" 193 "12/7/10" 391.0391313 NA
"194" 194 "13/7/10" 404.3847319 NA
"195" 195 "14/7/10" 399.730508 NA
"196" 196 "15/7/10" 385.9814476 NA
"197" 197 "16/7/10" 367.894492 NA
"198" 198 "17/7/10" 339.2158872 NA
"199" 199 "18/7/10" 322.2790091 NA
"200" 200 "19/7/10" 385.254249 NA
"201" 201 "20/7/10" 393.6198429 NA
"202" 202 "21/7/10" 391.2282131 NA
"203" 203 "22/7/10" 394.6769126 NA
"204" 204 "23/7/10" 386.7633265 NA
"205" 205 "24/7/10" 354.7944422 NA
"206" 206 "25/7/10" 330.9734521 NA
"207" 207 "26/7/10" 390.0707256 NA
"208" 208 "27/7/10" 397.7362056 NA
"209" 209 "28/7/10" 393.8549176 NA
"210" 210 "29/7/10" 397.2123978 NA
"211" 211 "30/7/10" 394.0721062 NA
"212" 212 "31/7/10" 358.808343 NA
"213" 213 "1/8/10" 331.6019108 NA
"214" 214 "2/8/10" 395.9754287 NA
