"X" "Date" "Actual" "Forecast"
"1" 2179 "1/1/11" 949.45 NA
"2" 2180 "2/1/11" 1000.7775 NA
"3" 2181 "3/1/11" 1021.2525 NA
"4" 2182 "4/1/11" 1034.955 NA
"5" 2183 "5/1/11" 1040.805 NA
"6" 2184 "6/1/11" 1009.3725 NA
"7" 2185 "7/1/11" 943.1775 NA
"8" 2186 "8/1/11" 1044.2925 NA
"9" 2187 "9/1/11" 1048.815 NA
"10" 2188 "10/1/11" 1065.96 NA
"11" 2189 "11/1/11" 1042.2675 NA
"12" 2190 "12/1/11" 1031.58 NA
"13" 2191 "13/1/11" 1006.425 NA
"14" 2192 "14/1/11" 923.265 NA
"15" 2193 "15/1/11" 1034.46 NA
"16" 2194 "16/1/11" 1059.21 NA
"17" 2195 "17/1/11" 1048.005 NA
"18" 2196 "18/1/11" 1064.205 NA
"19" 2197 "19/1/11" 1000.2375 NA
"20" 2198 "20/1/11" 974.295 NA
"21" 2199 "21/1/11" 891.5175 NA
"22" 2200 "22/1/11" 955.395 NA
"23" 2201 "23/1/11" 964.5525 NA
"24" 2202 "24/1/11" 965.4525 NA
"25" 2203 "25/1/11" 979.5375 NA
"26" 2204 "26/1/11" 977.4675 NA
"27" 2205 "27/1/11" 942.5025 NA
"28" 2206 "28/1/11" 848.7675 NA
"29" 2207 "29/1/11" 932.4225 NA
"30" 2208 "30/1/11" 1002.7575 NA
"31" 2209 "31/1/11" 995.8725 NA
"32" 2210 "1/2/11" 967.9375 NA
"33" 2211 "2/2/11" 955.4575 NA
"34" 2212 "3/2/11" 956.1641667 NA
"35" 2213 "4/2/11" 896.495 NA
"36" 2214 "5/2/11" 963.6725 NA
"37" 2215 "6/2/11" 978.38 NA
"38" 2216 "7/2/11" 988.0966667 NA
"39" 2217 "8/2/11" 982.7525 NA
"40" 2218 "9/2/11" 953.4545417 NA
"41" 2219 "10/2/11" 953.9116667 NA
"42" 2220 "11/2/11" 884.5920833 NA
"43" 2221 "12/2/11" 963.20875 NA
"44" 2222 "13/2/11" 977.2758333 NA
"45" 2223 "14/2/11" 964.1583333 NA
"46" 2224 "15/2/11" 914.31625 NA
"47" 2225 "16/2/11" 971.4679167 NA
"48" 2226 "17/2/11" 950.7316667 NA
"49" 2227 "18/2/11" 849.2808333 NA
"50" 2228 "19/2/11" 900.7129167 NA
"51" 2229 "20/2/11" 963.6504167 NA
"52" 2230 "21/2/11" 977.6733333 NA
"53" 2231 "22/2/11" 938.6741667 NA
"54" 2232 "23/2/11" 905.6595833 NA
"55" 2233 "24/2/11" 883.04625 NA
"56" 2234 "25/2/11" 806.7925 NA
"57" 2235 "26/2/11" 919.0641667 NA
"58" 2236 "27/2/11" 929.3991667 NA
"59" 2237 "28/2/11" 939.6679167 NA
"60" 2238 "1/3/11" 871.7445833 NA
"61" 2239 "2/3/11" 849.625 NA
"62" 2240 "3/3/11" 823.2083333 NA
"63" 2241 "4/3/11" 730.7083333 NA
"64" 2242 "5/3/11" 807.7291667 NA
"65" 2243 "6/3/11" 817.0208333 NA
"66" 2244 "7/3/11" 853.4375 NA
"67" 2245 "8/3/11" 860.2083333 NA
"68" 2246 "9/3/11" 902.7708333 NA
"69" 2247 "10/3/11" 936.8333333 NA
"70" 2248 "11/3/11" 859.75 NA
"71" 2249 "12/3/11" 897.1041667 NA
"72" 2250 "13/3/11" 906.5434783 NA
"73" 2251 "14/3/11" 879.4791667 NA
"74" 2252 "15/3/11" 867.4375 NA
"75" 2253 "16/3/11" 858.9375 NA
"76" 2254 "17/3/11" 812.375 NA
"77" 2255 "18/3/11" 722.0833333 NA
"78" 2256 "19/3/11" 790.9583333 NA
"79" 2257 "20/3/11" 807.5833333 NA
"80" 2258 "21/3/11" 793.4583333 NA
"81" 2259 "22/3/11" 815.375 NA
"82" 2260 "23/3/11" 856.0625 NA
"83" 2261 "24/3/11" 879.25 NA
"84" 2262 "25/3/11" 794.8333333 NA
"85" 2263 "26/3/11" 839.6875 NA
"86" 2264 "27/3/11" 851.4791667 NA
"87" 2265 "28/3/11" 858.4375 NA
"88" 2266 "29/3/11" 832.5833333 NA
"89" 2267 "30/3/11" 830.375 NA
"90" 2268 "31/3/11" 799.4583333 NA
"91" 2269 "1/4/11" 691.2108333 NA
"92" 2270 "2/4/11" 754.26 NA
"93" 2271 "3/4/11" 771.72 NA
"94" 2272 "4/4/11" 810.9 NA
"95" 2273 "5/4/11" 827.9 NA
"96" 2274 "6/4/11" 813.78 NA
"97" 2275 "7/4/11" 789.82 NA
"98" 2276 "8/4/11" 721.24 NA
"99" 2277 "9/4/11" 797.92 NA
"100" 2278 "10/4/11" 822.04 NA
"101" 2279 "11/4/11" 806.9 NA
"102" 2280 "12/4/11" 814.1 NA
"103" 2281 "13/4/11" 824.18 NA
"104" 2282 "14/4/11" 791.24 NA
"105" 2283 "15/4/11" 700 NA
"106" 2284 "16/4/11" 768.94 NA
"107" 2285 "17/4/11" 784.08 NA
"108" 2286 "18/4/11" 794.1 NA
"109" 2287 "19/4/11" 792.92 NA
"110" 2288 "20/4/11" 786.86 NA
"111" 2289 "21/4/11" 774.74 NA
"112" 2290 "22/4/11" 722.66 NA
"113" 2291 "23/4/11" 787.68 NA
"114" 2292 "24/4/11" 791.1 NA
"115" 2293 "25/4/11" 792.1 NA
"116" 2294 "26/4/11" 788.52 NA
"117" 2295 "27/4/11" 784.74 NA
"118" 2296 "28/4/11" 771.24 NA
"119" 2297 "29/4/11" 694.64 NA
"120" 2298 "30/4/11" 750.86 NA
"121" 2299 "1/5/11" 773.5541667 NA
"122" 2300 "2/5/11" 805.5625 NA
"123" 2301 "3/5/11" 810.3958333 NA
"124" 2302 "4/5/11" 815.6666667 NA
"125" 2303 "5/5/11" 807.9791667 NA
"126" 2304 "6/5/11" 742.6458333 NA
"127" 2305 "7/5/11" 804.25 NA
"128" 2306 "8/5/11" 818.0833333 NA
"129" 2307 "9/5/11" 813 NA
"130" 2308 "10/5/11" 808.9791667 NA
"131" 2309 "11/5/11" 829.7083333 NA
"132" 2310 "12/5/11" 797.3541667 NA
"133" 2311 "13/5/11" 726.8958333 NA
"134" 2312 "14/5/11" 801.875 NA
"135" 2313 "15/5/11" 801.3333333 NA
"136" 2314 "16/5/11" 825.8125 NA
"137" 2315 "17/5/11" 834.4375 NA
"138" 2316 "18/5/11" 847.1666667 NA
"139" 2317 "19/5/11" 830.8958333 NA
"140" 2318 "20/5/11" 755.8958333 NA
"141" 2319 "21/5/11" 831.125 NA
"142" 2320 "22/5/11" 845.875 NA
"143" 2321 "23/5/11" 823.6458333 NA
"144" 2322 "24/5/11" 839.1041667 NA
"145" 2323 "25/5/11" 813.0625 NA
"146" 2324 "26/5/11" 817.2083333 NA
