Date,Forecast
1/1/15,284.5194495
1/2/15,299.2912868
1/3/15,309.7507398
1/4/15,310.72443
1/5/15,310.0490641
1/6/15,323.4043551
1/7/15,325.4360657
1/8/15,328.2635813
1/9/15,332.4295312
1/10/15,322.5433861
1/11/15,311.3525009
1/12/15,311.0604534
1/13/15,320.6447476
1/14/15,317.5214288
1/15/15,342.7467578
1/16/15,345.5654908
1/17/15,334.7963322
1/18/15,321.1650675
1/19/15,309.0841762
1/20/15,320.7478925
1/21/15,319.2768042
1/22/15,315.8546503
1/23/15,305.8065556
1/24/15,296.1376121
1/25/15,289.8183713
1/26/15,286.8630413
1/27/15,307.7840228
1/28/15,311.0442382
1/29/15,319.8250721
1/30/15,320.5401816
1/31/15,319.3506583
2/1/15,311.5648966
2/2/15,304.0617555
2/3/15,316.9891055
2/4/15,315.8855951
2/5/15,319.9478317
2/6/15,318.7839159
2/7/15,313.605768
2/8/15,305.8963375
2/9/15,291.8644743
2/10/15,299.2994732
2/11/15,307.972239
2/12/15,305.3645411
2/13/15,312.499675
2/14/15,313.0655979
2/15/15,296.9527514
2/16/15,275.2154118
2/17/15,290.4395689
2/18/15,292.7248583
2/19/15,297.3165339
2/20/15,297.028507
2/21/15,297.9777304
2/22/15,296.3210112
2/23/15,292.3434841
2/24/15,305.4534738
2/25/15,308.5219608
2/26/15,310.3046032
2/27/15,302.1717438
2/28/15,312.342433
3/1/15,305.0703538
3/2/15,299.2263148
3/3/15,316.4177997
3/4/15,316.7844036
3/5/15,320.8105935
3/6/15,314.5191995
3/7/15,326.6876702
3/8/15,322.0972727
3/9/15,313.3678934
3/10/15,333.131479
3/11/15,333.4149485
3/12/15,341.3761921
3/13/15,343.939016
3/14/15,355.0641017
3/15/15,347.8937637
3/16/15,340.3954131
3/17/15,352.8281649
3/18/15,351.3276739
3/19/15,350.4783911
3/20/15,353.5852069
3/21/15,355.8169871
3/22/15,344.8076589
3/23/15,324.0103152
3/24/15,331.6298346
3/25/15,336.5788843
3/26/15,333.60579
3/27/15,331.08349
3/28/15,322.7236742
3/29/15,307.4274585
3/30/15,303.1560752
3/31/15,316.3469362
4/1/15,318.4302666
4/2/15,322.7426563
4/3/15,321.4975189
4/4/15,293.8212091
4/5/15,300.496736
4/6/15,303.9694271
4/7/15,316.0610615
4/8/15,313.045362
4/9/15,306.9869491
4/10/15,311.0486999
4/11/15,318.8477126
4/12/15,306.659289
4/13/15,303.9642555
4/14/15,315.0631986
4/15/15,336.249743
4/16/15,339.3123327
4/17/15,339.2414704
4/18/15,340.1476044
4/19/15,323.5132538
4/20/15,311.7295169
4/21/15,305.2797386
4/22/15,324.2976215
4/23/15,331.2416179
4/24/15,337.5752348
4/25/15,341.9707112
4/26/15,334.9389832
4/27/15,326.7316785
4/28/15,338.1707855
4/29/15,345.7727062
4/30/15,331.6173307
5/1/15,300.8964334
5/2/15,322.3361007
5/3/15,324.7398376
5/4/15,318.3983653
5/5/15,335.2718263
5/6/15,337.1342146
5/7/15,346.4260037
5/8/15,350.3413217
5/9/15,347.3510457
5/10/15,342.2812951
5/11/15,334.874247
5/12/15,351.0870616
5/13/15,360.7553315
5/14/15,348.7084639
5/15/15,357.6050122
5/16/15,357.8247758
