"X" "Date" "Actual" "Forecast"
"1" 6320 "1/1/11" 275.2282917 NA
"2" 6321 "2/1/11" 256.2615 NA
"3" 6322 "3/1/11" 297.0072708 NA
"4" 6323 "4/1/11" 295.3063333 NA
"5" 6324 "5/1/11" 296.6342917 NA
"6" 6325 "6/1/11" 296.5450625 NA
"7" 6326 "7/1/11" 295.4076875 NA
"8" 6327 "8/1/11" 272.6595833 NA
"9" 6328 "9/1/11" 261.4725625 NA
"10" 6329 "10/1/11" 284.5610833 NA
"11" 6330 "11/1/11" 288.8688333 NA
"12" 6331 "12/1/11" 291.9870625 NA
"13" 6332 "13/1/11" 286.7179167 NA
"14" 6333 "14/1/11" 281.7386667 NA
"15" 6334 "15/1/11" 263.7389583 NA
"16" 6335 "16/1/11" 236.0966667 NA
"17" 6336 "17/1/11" 290.5106875 NA
"18" 6337 "18/1/11" 291.3593125 NA
"19" 6338 "19/1/11" 289.7763125 NA
"20" 6339 "20/1/11" 292.7687708 NA
"21" 6340 "21/1/11" 281.3167292 NA
"22" 6341 "22/1/11" 259.975 NA
"23" 6342 "23/1/11" 245.7736667 NA
"24" 6343 "24/1/11" 262.7516042 NA
"25" 6344 "25/1/11" 274.1015625 NA
"26" 6345 "26/1/11" 288.0391667 NA
"27" 6346 "27/1/11" 290.2871667 NA
"28" 6347 "28/1/11" 270.9204583 NA
"29" 6348 "29/1/11" 275.0399792 NA
"30" 6349 "30/1/11" 260.2360833 NA
"31" 6350 "31/1/11" 292.2253542 NA
"32" 6351 "1/2/11" 289.3542083 NA
"33" 6352 "2/2/11" 284.32725 NA
"34" 6353 "3/2/11" 278.3920625 NA
"35" 6354 "4/2/11" 283.162625 NA
"36" 6355 "5/2/11" 276.0774375 NA
"37" 6356 "6/2/11" 254.8615563 NA
"38" 6357 "7/2/11" 283.7055833 NA
"39" 6358 "8/2/11" 281.4156667 NA
"40" 6359 "9/2/11" 280.9015417 NA
"41" 6360 "10/2/11" 275.1739792 NA
"42" 6361 "11/2/11" 276.5588125 NA
"43" 6362 "12/2/11" 256.5639167 NA
"44" 6363 "13/2/11" 253.6960833 NA
"45" 6364 "14/2/11" 269.1959583 NA
"46" 6365 "15/2/11" 265.25625 NA
"47" 6366 "16/2/11" 242.6479375 NA
"48" 6367 "17/2/11" 261.6780208 NA
"49" 6368 "18/2/11" 278.9730208 NA
"50" 6369 "19/2/11" 270.7340833 NA
"51" 6370 "20/2/11" 259.1519792 NA
"52" 6371 "21/2/11" 284.524875 NA
"53" 6372 "22/2/11" 278.5950417 NA
"54" 6373 "23/2/11" 296.3933958 NA
"55" 6374 "24/2/11" 295.9929583 NA
"56" 6375 "25/2/11" 301.0249583 NA
"57" 6376 "26/2/11" 279.0211667 NA
"58" 6377 "27/2/11" 267.569375 NA
"59" 6378 "28/2/11" 289.5358958 NA
"60" 6379 "1/3/11" 299.7118958 NA
"61" 6380 "2/3/11" 300.8191458 NA
"62" 6381 "3/3/11" 292.617425 NA
"63" 6382 "4/3/11" 281.9907083 NA
"64" 6383 "5/3/11" 277.8186875 NA
"65" 6384 "6/3/11" 258.8165833 NA
"66" 6385 "7/3/11" 277.4819167 NA
"67" 6386 "8/3/11" 282.663875 NA
"68" 6387 "9/3/11" 282.71075 NA
"69" 6388 "10/3/11" 280.9182917 NA
"70" 6389 "11/3/11" 285.9471711 NA
"71" 6390 "12/3/11" 269.3649583 NA
"72" 6391 "13/3/11" 259.7069348 NA
"73" 6392 "14/3/11" 297.8977708 NA
"74" 6393 "15/3/11" 285.5430625 NA
"75" 6394 "16/3/11" 282.1965417 NA
"76" 6395 "17/3/11" 285.477 NA
"77" 6396 "18/3/11" 278.6969792 NA
"78" 6397 "19/3/11" 273.754375 NA
"79" 6398 "20/3/11" 259.83225 NA
"80" 6399 "21/3/11" 283.3743125 NA
"81" 6400 "22/3/11" 289.4532708 NA
"82" 6401 "23/3/11" 291.3420625 NA
"83" 6402 "24/3/11" 277.4353958 NA
"84" 6403 "25/3/11" 279.271125 NA
"85" 6404 "26/3/11" 277.3218958 NA
"86" 6405 "27/3/11" 261.8072917 NA
"87" 6406 "28/3/11" 292.1036042 NA
"88" 6407 "29/3/11" 296.6795625 NA
"89" 6408 "30/3/11" 300.5630625 NA
"90" 6409 "31/3/11" 300.0896458 NA
"91" 6410 "1/4/11" 295.2528125 NA
"92" 6411 "2/4/11" 277.4359167 NA
"93" 6412 "3/4/11" 263.3837083 NA
"94" 6413 "4/4/11" 263.63975 NA
"95" 6414 "5/4/11" 288.0226875 NA
"96" 6415 "6/4/11" 294.525125 NA
"97" 6416 "7/4/11" 291.30975 NA
"98" 6417 "8/4/11" 296.3663333 NA
"99" 6418 "9/4/11" 286.0668958 NA
"100" 6419 "10/4/11" 276.5589792 NA
"101" 6420 "11/4/11" 299.0714375 NA
"102" 6421 "12/4/11" 313.3221458 NA
"103" 6422 "13/4/11" 311.7590833 NA
"104" 6423 "14/4/11" 309.4004167 NA
"105" 6424 "15/4/11" 299.0257292 NA
"106" 6425 "16/4/11" 279.7253333 NA
"107" 6426 "17/4/11" 266.1342708 NA
"108" 6427 "18/4/11" 289.344375 NA
"109" 6428 "19/4/11" 297.253125 NA
"110" 6429 "20/4/11" 299.4728958 NA
"111" 6430 "21/4/11" 294.5433333 NA
"112" 6431 "22/4/11" 292.65225 NA
"113" 6432 "23/4/11" 271.9775 NA
"114" 6433 "24/4/11" 258.4879792 NA
"115" 6434 "25/4/11" 264.7552083 NA
"116" 6435 "26/4/11" 287.83525 NA
"117" 6436 "27/4/11" 291.9463333 NA
"118" 6437 "28/4/11" 297.8609167 NA
"119" 6438 "29/4/11" 287.5759583 NA
"120" 6439 "30/4/11" 281.9121875 NA
"121" 6440 "1/5/11" 261.693 NA
"122" 6441 "2/5/11" 288.6318542 NA
"123" 6442 "3/5/11" 292.6948333 NA
"124" 6443 "4/5/11" 297.6665 NA
"125" 6444 "5/5/11" 304.7352708 NA
"126" 6445 "6/5/11" 307.8901458 NA
"127" 6446 "7/5/11" 285.9706458 NA
"128" 6447 "8/5/11" 274.45075 NA
"129" 6448 "9/5/11" 295.489875 NA
"130" 6449 "10/5/11" 295.3279375 NA
"131" 6450 "11/5/11" 294.753125 NA
"132" 6451 "12/5/11" 295.6421458 NA
"133" 6452 "13/5/11" 296.4555 NA
"134" 6453 "14/5/11" 279.8849167 NA
"135" 6454 "15/5/11" 262.4846667 NA
"136" 6455 "16/5/11" 301.8960208 NA
"137" 6456 "17/5/11" 320.4563333 NA
"138" 6457 "18/5/11" 337.2835417 NA
"139" 6458 "19/5/11" 323.3106458 NA
"140" 6459 "20/5/11" 325.9061458 NA
"141" 6460 "21/5/11" 299.9502292 NA
"142" 6461 "22/5/11" 271.3143333 NA
"143" 6462 "23/5/11" 306.2634417 NA
"144" 6463 "24/5/11" 316.6685625 NA
"145" 6464 "25/5/11" 319.9090417 NA
"146" 6465 "26/5/11" 314.5275833 NA
"147" 6466 "27/5/11" 311.5775208 NA
"148" 6467 "28/5/11" 290.8630833 NA
"149" 6468 "29/5/11" 279.2561458 NA
"150" 6469 "30/5/11" 306.6435625 NA
"151" 6470 "31/5/11" 324.84425 NA
"152" 6471 "1/6/11" 323.2640833 NA
"153" 6472 "2/6/11" 308.0415 NA
"154" 6473 "3/6/11" 328.5253958 NA
"155" 6474 "4/6/11" 310.9848542 NA
