,Date,Actual,Forecast
1,1/1/06,327.375,
2,2/1/06,339.7083333,
3,3/1/06,382.0833333,
4,4/1/06,373.5833333,
5,5/1/06,355.9583333,
6,6/1/06,345.5833333,
7,7/1/06,329.2916667,
8,8/1/06,346.7083333,
9,9/1/06,366.4166667,
10,10/1/06,346.3333333,
11,11/1/06,352.5833333,
12,12/1/06,370.875,
13,13/1/06,351.3333333,
14,14/1/06,346.5833333,
15,15/1/06,361.1666667,
16,16/1/06,372.25,
17,17/1/06,357.5416667,
18,18/1/06,367.625,
19,19/1/06,352.125,
20,20/1/06,357.2916667,
21,21/1/06,347.6666667,
22,22/1/06,357.9166667,
23,23/1/06,395,
24,24/1/06,368.125,
25,25/1/06,382.8333333,
26,26/1/06,381.7916667,
27,27/1/06,374.25,
28,28/1/06,349,
29,29/1/06,345.7916667,
30,30/1/06,346.0416667,
31,31/1/06,388.4583333,
32,1/2/06,349.2916667,
33,2/2/06,343.5,
34,3/2/06,326.2083333,
35,4/2/06,338.25,
36,5/2/06,371.3333333,
37,6/2/06,380.7916667,
38,7/2/06,370.9166667,
39,8/2/06,352.4166667,
40,9/2/06,353.4166667,
41,10/2/06,362.3333333,
42,11/2/06,348.5,
43,12/2/06,315.75,
44,13/2/06,359.6666667,
45,14/2/06,397.5416667,
46,15/2/06,386.9166667,
47,16/2/06,411.9583333,
48,17/2/06,427.0416667,
49,18/2/06,417.75,
50,19/2/06,412.125,
51,20/2/06,430.2083333,
52,21/2/06,378.4583333,
53,22/2/06,356.7083333,
54,23/2/06,329.2916667,
55,24/2/06,354.125,
56,25/2/06,368.6666667,
57,26/2/06,349.875,
58,27/2/06,338.75,
59,28/2/06,342.4583333,
60,1/3/06,335.2083333,
61,2/3/06,347.7916667,
62,3/3/06,363.75,
63,4/3/06,333.9583333,
64,5/3/06,307.4166667,
65,6/3/06,337.875,
66,7/3/06,349.0833333,
67,8/3/06,380.2083333,
68,9/3/06,402,
69,10/3/06,394.2916667,
70,11/3/06,367.2083333,
71,12/3/06,366.75,
72,13/3/06,393.375,
73,14/3/06,364.875,
74,15/3/06,370.2083333,
75,16/3/06,362.25,
76,17/3/06,352.5833333,
77,18/3/06,331.7916667,
78,19/3/06,331.1666667,
79,20/3/06,374.3333333,
80,21/3/06,353.8333333,
81,22/3/06,341.6666667,
82,23/3/06,327.5,
83,24/3/06,326.3333333,
84,25/3/06,328.1666667,
85,26/3/06,317.875,
86,27/3/06,332.25,
87,28/3/06,317.75,
88,29/3/06,321.2916667,
89,30/3/06,318.5833333,
90,31/3/06,318.5416667,
91,1/4/06,312.2916667,
92,2/4/06,300.3043478,
93,3/4/06,319.375,
94,4/4/06,314.625,
95,5/4/06,309.2916667,
96,6/4/06,308.7916667,
97,7/4/06,300.375,
98,8/4/06,287.25,
99,9/4/06,300.25,
100,10/4/06,323.5,
101,11/4/06,319.9166667,
102,12/4/06,312,
103,13/4/06,300.9166667,
104,14/4/06,312.5416667,
105,15/4/06,336,
106,16/4/06,326.6666667,
107,17/4/06,340.0833333,
108,18/4/06,328.5416667,
109,19/4/06,310.9583333,
110,20/4/06,278.5416667,
111,21/4/06,299.8333333,
112,22/4/06,298.875,
113,23/4/06,283.4166667,
114,24/4/06,292.0416667,
115,25/4/06,293.0833333,
116,26/4/06,293.5416667,
117,27/4/06,296.0833333,
118,28/4/06,288.5833333,
119,29/4/06,264.9583333,
120,30/4/06,278.0416667,
121,1/5/06,306.2083333,
122,2/5/06,299.0416667,
123,3/5/06,298.0416667,
124,4/5/06,294.1666667,
125,5/5/06,283.0833333,
126,6/5/06,266.5416667,
127,7/5/06,281.375,
128,8/5/06,301.7916667,
129,9/5/06,299.25,
130,10/5/06,287.4583333,
131,11/5/06,282.9583333,
132,12/5/06,284.6666667,
133,13/5/06,269.5833333,
134,14/5/06,265.875,
135,15/5/06,297.5833333,
136,16/5/06,295.125,
137,17/5/06,291.5833333,
138,18/5/06,294.5416667,
139,19/5/06,274.7083333,
140,20/5/06,259.7083333,
141,21/5/06,255.2916667,
142,22/5/06,274.0416667,
143,23/5/06,287.6666667,
144,24/5/06,284.375,
145,25/5/06,285.0416667,
146,26/5/06,295.5,
147,27/5/06,282.0416667,
148,28/5/06,272.5833333,
149,29/5/06,270.2916667,
150,30/5/06,289.5,
151,31/5/06,289.5416667,
152,1/6/06,294.625,
153,2/6/06,287.2083333,
154,3/6/06,268,
155,4/6/06,267.5833333,
156,5/6/06,289.2083333,
157,6/6/06,287.2083333,
158,7/6/06,281.0416667,
159,8/6/06,258.5833333,
160,9/6/06,283.4166667,
161,10/6/06,262.9583333,
162,11/6/06,267.3333333,
163,12/6/06,290.1666667,
164,13/6/06,290.5,
165,14/6/06,291.8333333,
166,15/6/06,291.375,
167,16/6/06,286.5416667,
168,17/6/06,267.3333333,
169,18/6/06,261.5416667,
170,19/6/06,281.8333333,
171,20/6/06,279.7916667,
172,21/6/06,280.75,
173,22/6/06,281.75,
174,23/6/06,275.0833333,
175,24/6/06,272.1666667,
176,25/6/06,286.2916667,
177,26/6/06,328.1666667,
178,27/6/06,329.7916667,
179,28/6/06,297.375,
180,29/6/06,290.2083333,
181,30/6/06,307.7916667,
182,1/7/06,285.5,
183,2/7/06,281.375,
184,3/7/06,286.0416667,
185,4/7/06,260.125,
186,5/7/06,276.8333333,
187,6/7/06,279.1666667,
188,7/7/06,285.4166667,
189,8/7/06,276.9583333,
190,9/7/06,284.0416667,
191,10/7/06,298.2916667,
192,11/7/06,291.6666667,
193,12/7/06,279.1666667,
194,13/7/06,298,
195,14/7/06,298.5833333,
196,15/7/06,272.625,
197,16/7/06,275.875,
198,17/7/06,295.375,
199,18/7/06,287.125,
200,19/7/06,287.4583333,
201,20/7/06,305.9583333,
202,21/7/06,327.2916667,
203,22/7/06,320.9166667,
204,23/7/06,329.5416667,
205,24/7/06,355.875,
206,25/7/06,330.2916667,
207,26/7/06,327.5,
208,27/7/06,330.0416667,
209,28/7/06,294.1666667,
210,29/7/06,267.7083333,
211,30/7/06,259.7083333,
212,31/7/06,289.375,
213,1/8/06,292.1666667,
214,2/8/06,267.75,
215,3/8/06,292.7916667,
216,4/8/06,281,
217,5/8/06,273.9583333,
218,6/8/06,281.9166667,
219,7/8/06,314.0833333,
220,8/8/06,296.6666667,
221,9/8/06,307.0416667,
222,10/8/06,300.25,
223,11/8/06,282.5,
224,12/8/06,266.625,
225,13/8/06,273.125,
226,14/8/06,307,
227,15/8/06,289.75,
228,16/8/06,282.6666667,
229,17/8/06,288.5833333,
230,18/8/06,302.3333333,
231,19/8/06,289.9583333,
232,20/8/06,277.625,
233,21/8/06,289.2083333,
234,22/8/06,281.7916667,
235,23/8/06,286.5,
236,24/8/06,284,
237,25/8/06,286.6666667,
238,26/8/06,279.5833333,
239,27/8/06,286.4583333,
240,28/8/06,313.3333333,
241,29/8/06,276.9166667,
242,30/8/06,281.5,
243,31/8/06,280.7916667,
244,1/9/06,296.125,
245,2/9/06,278.9166667,
246,3/9/06,266.2083333,
247,4/9/06,266.9583333,
248,5/9/06,295.2083333,
249,6/9/06,301.7083333,
250,7/9/06,290.0416667,
251,8/9/06,284.7083333,
252,9/9/06,263.6666667,
253,10/9/06,262.5,
254,11/9/06,293.375,
255,12/9/06,296.1666667,
256,13/9/06,289.2916667,
257,14/9/06,282,
258,15/9/06,283.7083333,
259,16/9/06,264.75,
260,17/9/06,247.875,
261,18/9/06,267.75,
262,19/9/06,246.75,
263,20/9/06,243.5833333,
264,21/9/06,243.5,
265,22/9/06,243.7916667,
266,23/9/06,225.375,
267,24/9/06,226.5833333,
268,25/9/06,264.5833333,
269,26/9/06,262.375,
270,27/9/06,289,
271,28/9/06,293.375,
272,29/9/06,291.5,
273,30/9/06,264.75,
274,1/10/06,249.25,
275,2/10/06,286.4166667,
276,3/10/06,294.125,
277,4/10/06,299.75,
