Date,Forecast
1/1/14,1263.996844
1/2/14,1303.366988
1/3/14,1311.770652
1/4/14,1311.251408
1/5/14,1286.067452
1/6/14,1278.917842
1/7/14,1322.848969
1/8/14,1306.816625
1/9/14,1339.335262
1/10/14,1363.96997
1/11/14,1375.915306
1/12/14,1357.936511
1/13/14,1381.381263
1/14/14,1415.595407
1/15/14,1432.880921
1/16/14,1430.225537
1/17/14,1393.994374
1/18/14,1393.840483
1/19/14,1336.028047
1/20/14,1307.7193
1/21/14,1351.475787
1/22/14,1355.20574
1/23/14,1342.823542
1/24/14,1319.286237
1/25/14,1298.071097
1/26/14,1274.036827
1/27/14,1291.541354
1/28/14,1295.397973
1/29/14,1279.649469
1/30/14,1304.502309
1/31/14,1311.880862
2/1/14,1300.514761
2/2/14,1255.630676
2/3/14,1235.990173
2/4/14,1239.388701
2/5/14,1234.217995
2/6/14,1234.243668
2/7/14,1249.857268
2/8/14,1245.224073
2/9/14,1203.26375
2/10/14,1178.632284
2/11/14,1205.431615
2/12/14,1228.801624
2/13/14,1244.451072
2/14/14,1229.928433
2/15/14,1202.321874
2/16/14,1163.974927
2/17/14,1141.651776
2/18/14,1177.222398
2/19/14,1220.363078
2/20/14,1221.4064
2/21/14,1231.579965
2/22/14,1243.037485
2/23/14,1215.666155
2/24/14,1226.062716
2/25/14,1279.857318
2/26/14,1300.385641
2/27/14,1297.455281
2/28/14,1284.496559
3/1/14,1259.514908
3/2/14,1197.967559
3/3/14,1166.684691
3/4/14,1176.333766
3/5/14,1170.227221
3/6/14,1168.974283
3/7/14,1182.115453
3/8/14,1164.348517
3/9/14,1124.16331
3/10/14,1116.375905
3/11/14,1159.395214
3/12/14,1174.229866
3/13/14,1181.230992
3/14/14,1190.974882
3/15/14,1169.615726
3/16/14,1135.278669
3/17/14,1137.615555
3/18/14,1165.925776
3/19/14,1159.084482
3/20/14,1142.597346
3/21/14,1145.66994
3/22/14,1154.478643
3/23/14,1133.456485
3/24/14,1111.160226
3/25/14,1143.665659
3/26/14,1161.748369
3/27/14,1169.492616
3/28/14,1170.14049
3/29/14,1157.475779
3/30/14,1111.277812
3/31/14,1106.369345
4/1/14,1133.533579
4/2/14,1146.91321
4/3/14,1163.450824
4/4/14,1166.075287
4/5/14,1157.018793
4/6/14,1105.097281
4/7/14,1097.5208
4/8/14,1118.873103
4/9/14,1137.892325
4/10/14,1166.625694
4/11/14,1164.395986
4/12/14,1169.847333
4/13/14,1115.25253
4/14/14,1097.744019
4/15/14,1122.094359
4/16/14,1140.203441
4/17/14,1155.421022
4/18/14,1171.497292
4/19/14,1185.518461
4/20/14,1169.611735
4/21/14,1158.339978
4/22/14,1165.050879
4/23/14,1076.261081
4/24/14,1123.238309
4/25/14,1153.637258
4/26/14,1221.849304
4/27/14,1234.12568
4/28/14,1246.343155
4/29/14,1267.399641
4/30/14,1206.03784
5/1/14,1177.538833
5/2/14,1186.038251
5/3/14,1176.631796
5/4/14,1138.761076
5/5/14,1120.844617
5/6/14,1250.551152
5/7/14,1347.841136
5/8/14,1377.439967
5/9/14,1366.523263
5/10/14,1288.14268
5/11/14,1244.543986
5/12/14,1226.624148
5/13/14,1222.131555
5/14/14,1268.302547
5/15/14,1272.119828
5/16/14,1307.536023
5/17/14,1248.112639
5/18/14,1176.9974
5/19/14,1169.066901
5/20/14,1240.871049
5/21/14,1198.099484
5/22/14,1239.694699
5/23/14,1304.893594
5/24/14,1326.903368
5/25/14,1262.155096
5/26/14,1271.169297
5/27/14,1275.293059
5/28/14,1293.530846
5/29/14,1292.517881
5/30/14,1297.136808
5/31/14,1317.324875
6/1/14,1321.72112
6/2/14,1253.70785
6/3/14,1208.156629
6/4/14,1149.468118
6/5/14,1202.369679
6/6/14,1267.203964
6/7/14,1356.881277
6/8/14,1381.652862
6/9/14,1181.956827
6/10/14,1337.49617
6/11/14,1576.739596
6/12/14,1746.2666
6/13/14,1817.032006
6/14/14,1754.286981
6/15/14,1581.904116
6/16/14,1605.582844
6/17/14,1595.989006
6/18/14,1447.437242
6/19/14,1488.046152
6/20/14,1598.578605
6/21/14,1509.282717
6/22/14,1388.994041
6/23/14,1282.677466
6/24/14,1365.563837
6/25/14,1472.72756
6/26/14,1616.932569
6/27/14,1650.208516
6/28/14,1568.277772
6/29/14,1403.155048
6/30/14,1364.971065
7/1/14,1424.497192
7/2/14,1500.931656
7/3/14,1452.979293
7/4/14,1465.384457
7/5/14,1307.808849
7/6/14,1409.282919
7/7/14,1637.382931
7/8/14,1694.28584
7/9/14,1694.897678
7/10/14,1575.270497
7/11/14,1478.209385
7/12/14,1565.456586
7/13/14,1604.006886
7/14/14,1668.406937
7/15/14,1757.849827
7/16/14,1768.868608
7/17/14,1924.081614
7/18/14,2057.141943
7/19/14,2069.765438
7/20/14,2089.989295
7/21/14,2192.423552
7/22/14,2294.39336
7/23/14,2277.351354
7/24/14,2277.925625
7/25/14,2223.21225
7/26/14,2038.640144
7/27/14,1822.159781
7/28/14,1634.184672
7/29/14,1503.619648
7/30/14,1524.977273
7/31/14,1531.311013
8/1/14,1526.509375
8/2/14,1553.265337
8/3/14,1418.491507
8/4/14,1289.592388
8/5/14,1331.460152
8/6/14,1331.251594
8/7/14,1415.383565
8/8/14,1558.697628
