"Date" "Actual" "Forecast"
"1" "1/1/08" 28761.66667 NA
"2" "2/1/08" 29337.5 NA
"3" "3/1/08" 30105.83333 NA
"4" "4/1/08" 33156.66667 NA
"5" "5/1/08" 34562.5 NA
"6" "6/1/08" 33193.33333 NA
"7" "7/1/08" 39701.66667 NA
"8" "8/1/08" 39575 NA
"9" "9/1/08" 39541.25 NA
"10" "10/1/08" 40208.75 NA
"11" "11/1/08" 40337.91667 NA
"12" "12/1/08" 38968.33333 NA
"13" "13/1/08" 36511.25 NA
"14" "14/1/08" 39440 NA
"15" "15/1/08" 42636.66667 NA
"16" "16/1/08" 41967.91667 NA
"17" "17/1/08" 43176.25 NA
"18" "18/1/08" 44595.83333 NA
"19" "19/1/08" 40591.25 NA
"20" "20/1/08" 37539.58333 NA
"21" "21/1/08" 43217.5 NA
"22" "22/1/08" 43734.16667 NA
"23" "23/1/08" 45775.41667 NA
"24" "24/1/08" 43448.33333 NA
"25" "25/1/08" 44048.75 NA
"26" "26/1/08" 40614.58333 NA
"27" "27/1/08" 37517.08333 NA
"28" "28/1/08" 43296.66667 NA
"29" "29/1/08" 44140 NA
"30" "30/1/08" 41388.75 NA
"31" "31/1/08" 42062.5 NA
"32" "1/2/08" 42395 NA
"33" "2/2/08" 39645.83333 NA
"34" "3/2/08" 39798.75 NA
"35" "4/2/08" 42497.91667 NA
"36" "5/2/08" 42674.58333 NA
"37" "6/2/08" 45085.83333 NA
"38" "7/2/08" 43236.25 NA
"39" "8/2/08" 43027.08333 NA
"40" "9/2/08" 41993.75 NA
"41" "10/2/08" 36255.41667 NA
"42" "11/2/08" 37472.08333 NA
"43" "12/2/08" 42677.91667 NA
"44" "13/2/08" 43800.83333 NA
"45" "14/2/08" 43233.33333 NA
"46" "15/2/08" 42212.91667 NA
"47" "16/2/08" 39335.83333 NA
"48" "17/2/08" 37242.5 NA
"49" "18/2/08" 42006.25 NA
"50" "19/2/08" 42548.33333 NA
"51" "20/2/08" 41290 NA
"52" "21/2/08" 40467.5 NA
"53" "22/2/08" 39409.16667 NA
"54" "23/2/08" 36563.33333 NA
"55" "24/2/08" 36682.5 NA
"56" "25/2/08" 41489.16667 NA
"57" "26/2/08" 41340 NA
"58" "27/2/08" 40972.5 NA
"59" "28/2/08" 40945.83333 NA
"60" "29/2/08" 39505.41667 NA
"61" "1/3/08" 35992.5 NA
